line_number,code,risk_score,file,commit_id
9188,"return str . substring ( startIndex + 1 , endIndex ) ;",10,src/main/java/org/apache/commons/lang3/StringUtils.java,06aea7e74cfe4a1578cb76672f1562132090c205
9180,if ( isEmpty ( str ) | | wrapChar = = CharUtils . NUL | | str . length ( ) = = 1 ) {,2,src/main/java/org/apache/commons/lang3/StringUtils.java,06aea7e74cfe4a1578cb76672f1562132090c205
9222,if ( isEmpty ( str ) | | isEmpty ( wrapToken ) | | str . length ( ) = = 1 ) {,1,src/main/java/org/apache/commons/lang3/StringUtils.java,06aea7e74cfe4a1578cb76672f1562132090c205
2597,"appendDetail ( buffer , fieldName , try _ value _ str ) ;",22,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2590,| | try _ value _ str . startsWith ( getArrayStart ( ) ) & & try _ value _ str . startsWith ( getArrayEnd ( ) ),8,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2589,if ( try _ value _ str . startsWith ( getContentStart ( ) ) & & try _ value _ str . endsWith ( getContentEnd ( ) ),4,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2576,if ( value instanceof String | | value instanceof Character ) {,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2578,"appendValueAsString ( buffer , value . toString ( ) ) ;",0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2582,if ( value instanceof Number | | value instanceof Boolean ) {,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2584,buffer . append ( value ) ;,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2585,return ;,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2586,},0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2588,final String try _ value _ str = value . toString ( ) ;,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2591,) {,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2593,buffer . append ( value ) ;,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2594,return ;,0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
2595,},0,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,cac520971206093d32bf17925f880bd06d93f736
1348,if ( sz > start + 1 & & chars [ start ] = = ' 0 ' ) {,2,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1354,if ( i = = sz ) {,2,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1363,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1373,return true ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1372,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1371,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1370,return false ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1369,if ( chars [ i ] < ' 0 ' | | chars [ i ] > ' 7 ' ) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1368,for ( ; i < chars . length ; i + + ) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1367,int i = start + 1 ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1366,} else {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1365,return true ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1364,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1362,return false ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1349,if (,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1361,& & ( chars [ i ] < ' A ' | | chars [ i ] > ' F ' ) ) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1360,& & ( chars [ i ] < ' a ' | | chars [ i ] > ' f ' ),0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1359,if ( ( chars [ i ] < ' 0 ' | | chars [ i ] > ' 9 ' ),0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1358,for ( ; i < chars . length ; i + + ) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1355,return false ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1353,int i = start + 2 ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1352,) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1351,( chars [ start + 1 ] = = ' X ' ),0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1350,( chars [ start + 1 ] = = ' x ' ) | |,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1374,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,9397608dd35a335d5e14813c0923f9419782980a
1695,result + = ( ( calendar . get ( Calendar . DAY _ OF _ MONTH ) - 1 ) * MILLIS _ PER _ DAY ) / millisPerUnit ;,3,src/main/java/org/apache/commons/lang3/time/DateUtils.java,0942ef04f1fa911d382b79a92dca1dd4b3eb88e6
1692,result + = ( ( calendar . get ( Calendar . DAY _ OF _ YEAR ) - 1 ) * MILLIS _ PER _ DAY ) / millisPerUnit ;,0,src/main/java/org/apache/commons/lang3/time/DateUtils.java,0942ef04f1fa911d382b79a92dca1dd4b3eb88e6
456,if ( str . startsWith ( pfx ) ) {,2,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
462,int hexDigits = str . length ( ) - pfxLen ;,1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
463,if ( hexDigits > 16 ) {,1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
451,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
453,"final String [ ] hex _ prefixes = { `` 0x `` , `` 0X `` , `` - 0x `` , `` - 0X `` , `` # `` , `` - # `` } ;",0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
454,int pfxLen = 0 ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
455,for ( String pfx : hex _ prefixes ) {,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
457,pfxLen + = pfx . length ( ) ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
458,break ;,0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
459,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
460,},0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,d844d1eb5e5b530a82b77302f1f284fd2f924be3
